feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target,id
0.8207229931933491,0.8073864986045962,0.8842506067050436,0.09860959807079228,0.19115351411205062,0.8267317934813687,0.24167925000139112,0.18696694718704265,0.3833676013305187,0.42366689423915427,0.5750407331657238,0
0.15115374050603614,0.8799666656489035,0.7255768565963758,0.8915904617424024,0.8506435079522094,0.5628388697317807,0.7921361839752773,0.9972961322904916,0.16861930704760553,0.05821712342836749,0.47424699035836826,1
0.5883830368073991,0.34103065591644366,0.413519766004949,0.4371089364389864,0.542243328872797,0.8737220982416196,0.5529527921828311,0.2742679013745293,0.27148894272811186,0.38603245177795487,0.21229261014880496,2
0.2807033280618386,0.09278068786485572,0.05775981305071265,0.8720888540480806,0.9316033172717417,0.8998155336584884,0.043287116004891546,0.6839404301658174,0.14123399371884537,0.3156148511891531,0.418129431579192,3
0.53231510039003,0.5741878390660364,0.16511559763755024,0.625623131210572,0.46605094451435003,0.2668706083401793,0.8299600909334645,0.1300408247172089,0.9430195041280564,0.33874830359819763,0.793568083987106,4
0.5221701551148651,0.3510641927003867,0.6864319101634402,0.07506263586867157,0.871115155698549,0.20477818963969652,0.5232473162533802,0.16809100187276282,0.02564357779867399,0.7001942834122142,0.2449085666473655,5
0.4895876907055091,0.0320440992328076,0.8460784766477908,0.822762791628454,0.001706638860153653,0.647296064932688,0.9534402058029012,0.1533851153165945,0.9451472281615215,0.18697288037908688,0.5876633402994035,6
0.5194141400754959,0.6118893159413392,0.873586429403958,0.10178830240937242,0.01641400123547876,0.7982375543016591,0.9524336683965791,0.679024867554732,0.09069008903926778,0.154271313002323,0.04568536329372619,7
0.5697425223291622,0.7942896164644728,0.5151631749298261,0.2986502584814623,0.26957066953146425,0.33350091108195745,0.3961898523412448,0.015105508584975058,0.4934232814163616,0.5425558855713064,0.23353529726754219,8
0.727851492800123,0.14450000210007063,0.5769231579573147,0.1006803224917805,0.8897893800622442,0.5411849294071027,0.16861881135817658,0.08958772252522418,0.6882676118479754,0.3028777843496593,0.49504728111709373,9
0.19994323239818357,0.16742775577678048,0.9553548268354938,0.60481648600906,0.7785057108797538,0.5762448934946606,0.14597974042931272,0.7672094381844015,0.618629883015811,0.35243659520337567,0.7118808171552582,10
0.4186852807084529,0.3898862533664349,0.555377118894855,0.18609194643010862,0.2881742175277413,0.5318489587565892,0.8524898180070292,0.8351358809076337,0.12692301108774362,0.43901991559649733,0.21697155112348,11
